Submission ID,Common Name,Scientific Name,Taxonomic Order,Count,State/Province,County,Location ID,Location,Latitude,Longitude,Date,Time,Protocol,Duration (Min),All Obs Reported,Distance Traveled (km),Area Covered (ha),Number of Observers,Breeding Code,Observation Details,Checklist Comments,ML Catalog Numbers
S165438731,Porrón maorí,Aythya novaeseelandiae,654,2,NZ-OTA,Queenstown-Lakes District,L5598538,Queenstown Gardens,-45.0370954,168.6599851,2024-03-21,05:12 PM,eBird - Stationary Count,6,1,,,2
S164279573,Porrón maorí,Aythya novaeseelandiae,654,100,NZ-BOP,Rotorua District,L16911567,Rotorua--Ferry Jetty area,-38.129553,176.2523583,2024-03-10,06:26 PM,eBird - Stationary Count,2,1,,,2
S167322431,Porrón maorí,Aythya novaeseelandiae,654,6,NZ-TKI,South Taranaki District,L2341964,Rotokare Scenic Reserve,-39.4542215,174.4091606,2024-04-05,07:08 PM,eBird - Traveling Count,42,1,1.52,,2
S167322432,Porrón maorí,Aythya novaeseelandiae,654,6,NZ-TKI,South Taranaki District,L2341964,Rotokare Scenic Reserve,-39.4542215,174.4091606,2024-04-06,07:33 AM,eBird - Traveling Count,60,1,.87,,2
S155951951,Malvasía cabeciblanca,Oxyura leucocephala,741,1,ES-AN,Málaga,L11138163,Fuente de Piedra--Laguna dulce,37.1316372,-4.7398479,2023-12-08,03:57 PM,eBird - Stationary Count,37,1,,,2
S154231485,Pato sp.,Anatidae (duck sp.),750,1,ES-MD,,L11666875,Corredor Ambiental Somontes - El Pardo,40.4991876,-3.7626662,2023-11-11,09:08 AM,eBird - Traveling Count,279,1,5.54,,25,,,"Curso SEO/BirdLife - Iniciación a la ornitología.    ☁️  Nubes - muy nuboso  Temperatura: 14 - 17°C  Viento: Tirando a fuerte  - moderado   Viento procedente del: SO  Nubosidad: 75 - 100%  Humedad: 84 - 92%  Presión: 1017 hPa  Salida del sol: 7:56am  Puesta del sol: 6:01pm  Datos generados por <a href=""https://raincrow.netlify.app/"">RainCrow</a>"
S166758075,Colín de California,Callipepla californica,1045,8,NZ-CAN,Christchurch City,L607653,Christchurch--Botanic Gardens,-43.5296646,172.6198483,2024-04-01,05:41 PM,eBird - Traveling Count,10,0,.29,,2
S167322435,Colín de California,Callipepla californica,1045,15,NZ-WGN,Wellington City,L6566427,Zealandia--Lower Dam,-41.2926083,174.7515714,2024-04-05,09:20 AM,eBird - Traveling Count,66,1,1.46,,2
S167491841,Faisán vulgar,Phasianus colchicus,1420,1,NZ-MWT,Ruapehu District,L4429719,Tangarakau Gorge--Ruapehu District section,-38.9703535,174.8957777,2024-04-07,03:49 PM,eBird - Traveling Count,3,0,5.76,,2
S168328280,Codorniz de Tasmania,Synoicus ypsilophorus,1654,3,NZ-AUK,Rodney District,L521245,Tiritiri Matangi--Kawerau Track,-36.6008,174.8871,2024-04-13,10:13 AM,eBird - Traveling Count,65,1,1.85,,2
S168328279,Codorniz de Tasmania,Synoicus ypsilophorus,1654,5,NZ-AUK,Rodney District,L521245,Tiritiri Matangi--Kawerau Track,-36.6008,174.8871,2024-04-13,11:20 AM,eBird - Traveling Count,63,1,1.2,,2
S168328275,Codorniz de Tasmania,Synoicus ypsilophorus,1654,5,NZ-AUK,Rodney District,L521243,Tiritiri Matangi--Wattle Track,-36.6071,174.8931,2024-04-13,02:55 PM,eBird - Traveling Count,37,1,1.62,,2
